Categories,White Tea,Black Tea,Herbal Teas,Green Tea,Oolong Tea,Pu-erh Tea,
,Bai Hao Yin Zhen,Chai Tea,Chamomile Tea,Matcha Tea,Baihao,Ripe,
,Darjeeling White Tea,Assam,Chrysanthemum Tea,Sencha Tea,Da Hong Pao,Aged raw pu-erh,
,Gong Mei,Rooibos Tea,Dandlion Tea,Biluochun,Tie Guan Yin,Young raw pu-erh,
,,Earl Grey,Hibiscus Tea,Longjing,,,
,,Darjelling,Nettle Tea,,,,
,,,Peppermint Tea,,,,
,,,Pau d'arco Tea,,,,
,,,Raspberry Leaf Tea,,,,
,,,Rose Tea,,,,
,,,Senna Tea,,,,
,,,Spearmint Tea,,,,
Production,White Tea,Black Tea,Herbal Tea,Green Tea,Oolong Tea,Pu-erh Tea,
,withered,withered,withered,withered,withered,withered,
,dried,rolled,dried,fixed,rolled,fixed,
,,,,dired,oxidized,rolled,
,,,,,fixed,fermented,
,,,,,dried,,
Brew Method,"160 to 190 degrees F
2 to 5 minutes","200 to 212 degrees F
3 to 5 minutes","200 to 212 degrees F
5 to 7 minutes","160 to 180 degrees F
1 to 3 minutes","185 to 205 degrees F
2 to 6 minutes","185 to 195 degrees F
3 to 4 minutes",
,Bai Hao Yin Zhen,Chai Tea,Chamomile Tea,Matcha Tea,Baihao,Ripe,
,Darjeeling White Tea,Assam,Chrysanthemum Tea,Sencha Tea,Da Hong Pao,Aged raw pu-erh,
,Gong Mei,Rooibos Tea,Dandlion Tea,Biluochun,Tie Guan Yin,Young raw pu-erh,
,,Earl Grey,Hibiscus Tea,Longjing,,,
,,Darjelling,Nettle Tea,,,,
,,,Peppermint Tea,,,,
,,,Pau d'arco Tea,,,,
,,,Raspberry Leaf Tea,,,,
,,,Rose Tea,,,,
,,,Senna Tea,,,,
,,,Spearmint Tea,,,,
Regions,China,India,Africa,England,Europe,America,Japan
,Bai Hao Yin Zhen,Darjeeling White Tea,Rooibos Tea,Earl Grey,Chamomile Tea,Dandlion Tea,Matcha Tea
,Gong Mei,Chai Tea,Hibiscus Tea,,Nettle Tea,Pau d'arco Tea,
,Chrysanthemum Tea,Assam,,,Peppermint Tea,,
,Rose Tea,Darjelling,,,Raspberry Leaf Tea,,
,Sencha Tea,Senna Tea,,,Spearmint Tea,,
,Biluochun,,,,,,
,Longjing,,,,,,
,Baihao,,,,,,
,Da Hong Pao,,,,,,
,Tie Guan Yin,,,,,,
,Aged raw pu-erh,,,,,,
,Young raw pu-erh,,,,,,
,Ripe,,,,,,
Recipes,Beverage,Desserts,Entrees,,,,
,"Red, White (Tea) & Blue Sangria",Matcha Ice Cream,Cherry-Ginger Oolong Mayonnaise,,,,
,Iced Tea,Teatulia Green Tea Cheesecake,Tea Deviled Eggs,,,,
,Green Tea Ginger Cooler Cocktail,Earl of Bengal Cookies,Tom Yum Soup with Coconut Milk,,,,
,Earl Grey Hot Chocolate Mix,Lemongrass Panna Cotta,Green Tea Salt,,,,
,Horchata Tea,,Matcha & Goat Cheese Crostini,,,,
